CGLM ;     WithSx ; 2 ; 1626991299.476082
CGLM ;     WithSx ; 3 ; 1436259086.760092
CGLM ;     WithSx ; 4 ; 1322793631.670142
CGLM ;     WithSx ; 5 ; 1181772227.306957
CGLM ;     WithSx ; 6 ; 1098635736.163861
CGLM ;     WithSx ; 7 ; 986391395.639284
CGLM ;     WithSx ; 8 ; 900903345.639695
CGLM ;     WithSx ; 9 ; 839396044.152431
CGLM ;     WithSx ; 10 ; 748608350.552591
CGLM ;     WithSx ; 11 ; 677137810.739734
CGLM ;     WithSx ; 12 ; 621987341.881594
CGLM ;     WithSx ; 13 ; 564777289.652090
CGLM ;     WithSx ; 14 ; 511544170.259555
CGLM ;     WithSx ; 15 ; 469912488.904025
CGLM ;     WithSx ; 16 ; 424134918.709628
CGLM ;     WithSx ; 17 ; 394219332.336499
CGLM ;     WithSx ; 18 ; 354426471.402522
CGLM ;     WithSx ; 19 ; 324070641.204425
CGLM ;     WithSx ; 20 ; 297135028.603466
CGLM ;     WithSx ; 21 ; 270630569.286599
CGLM ;     WithSx ; 22 ; 245204941.677541
CGLM ;     WithSx ; 23 ; 225121512.360125
CGLM ;     WithSx ; 24 ; 202129459.958934
CGLM ;     WithSx ; 25 ; 184375561.972348
CGLM ;     WithSx ; 26 ; 165161454.769814
CGLM ;     WithSx ; 27 ; 149886842.792625
CGLM ;     WithSx ; 28 ; 135791988.874651
CGLM ;     WithSx ; 29 ; 123198672.198070
CGLM ;     WithSx ; 30 ; 110773382.730728
CGLM ;     WithSx ; 31 ; 100428354.484227
CGLM ;     WithSx ; 32 ; 90497513.803256
CGLM ;     WithSx ; 33 ; 82072777.741411
CGLM ;     WithSx ; 34 ; 74153571.337263
CGLM ;     WithSx ; 35 ; 66935252.836169
CGLM ;     WithSx ; 36 ; 60623804.376103
CGLM ;     WithSx ; 37 ; 53936944.055583
CGLM ;     WithSx ; 38 ; 48545925.095669
CGLM ;     WithSx ; 39 ; 43550565.474848
CGLM ;     WithSx ; 40 ; 38911493.392913
CGLM ;     WithSx ; 41 ; 34626958.747314
CGLM ;     WithSx ; 42 ; 30676507.102291
CGLM ;     WithSx ; 43 ; 27089960.423068
CGLM ;     WithSx ; 44 ; 23798792.612630
CGLM ;     WithSx ; 45 ; 20822040.519763
CGLM ;     WithSx ; 46 ; 18145215.566073
CGLM ;     WithSx ; 47 ; 15764023.158740
CGLM ;     WithSx ; 48 ; 13662785.087871
CGLM ;     WithSx ; 49 ; 11812418.974280
CGLM ;     WithSx ; 50 ; 10185949.687499
CGLM ;     WithSx ; 51 ; 8760510.639486
CGLM ;     WithSx ; 52 ; 7513951.231874
CGLM ;     WithSx ; 53 ; 6426654.926112
CGLM ;     WithSx ; 54 ; 5480673.877443
CGLM ;     WithSx ; 55 ; 4659810.019127
CGLM ;     WithSx ; 56 ; 3949490.986340
CGLM ;     WithSx ; 57 ; 3336593.960632
CGLM ;     WithSx ; 58 ; 2809353.001009
CGLM ;     WithSx ; 59 ; 2357239.638254
CGLM ;     WithSx ; 60 ; 1970831.393600
CGLM ;     WithSx ; 61 ; 1641722.086211
CGLM ;     WithSx ; 62 ; 1362415.227980
CGLM ;     WithSx ; 63 ; 1126243.157348
CGLM ;     WithSx ; 64 ; 927319.505106
CGLM ;     WithSx ; 65 ; 760424.154175
CGLM ;     WithSx ; 66 ; 620959.072643
CGLM ;     WithSx ; 67 ; 504897.521087
CGLM ;     WithSx ; 68 ; 408687.531129
CGLM ;     WithSx ; 69 ; 329268.346855
CGLM ;     WithSx ; 70 ; 263995.212902
CGLM ;     WithSx ; 71 ; 210586.530220
CGLM ;     WithSx ; 72 ; 167051.416283
CGLM ;     WithSx ; 73 ; 131724.316193
CGLM ;     WithSx ; 74 ; 103205.275627
CGLM ;     WithSx ; 75 ; 80290.257382
CGLM ;     WithSx ; 76 ; 61998.291851
CGLM ;     WithSx ; 77 ; 47461.227076
CGLM ;     WithSx ; 78 ; 35988.892292
CGLM ;     WithSx ; 79 ; 27024.756068
CGLM ;     WithSx ; 80 ; 20033.572221
CGLM ;     WithSx ; 81 ; 14640.678382
CGLM ;     WithSx ; 82 ; 10523.829324
CGLM ;     WithSx ; 83 ; 7407.480548
CGLM ;     WithSx ; 84 ; 5075.551839
CGLM ;     WithSx ; 85 ; 3380.670129
CGLM ;     WithSx ; 86 ; 2174.105105
CGLM ;     WithSx ; 87 ; 1329.481007
CGLM ;     WithSx ; 88 ; 766.835605
CGLM ;     WithSx ; 89 ; 424.535806
CGLM ;     WithSx ; 90 ; 218.262219
CGLM ;     WithSx ; 91 ;  93.570890
CGLM ;     WithSx ; 92 ;  37.486485
CGLM ;     WithSx ; 93 ;  24.933582
CGLM ;     WithSx ; 94 ;  21.741812
CGLM ;     WithSx ; 95 ;  18.885953
CGLM ;     WithSx ; 96 ;  16.391567
CGLM ;     WithSx ; 97 ;  14.167256
CGLM ;     WithSx ; 98 ;  12.189742
CGLM ;     WithSx ; 99 ;  10.437380
CGLM ;     WithSx ; 100 ;   8.890039
CGLM ;     WithSx ; 101 ;   7.529000
CGLM ;     WithSx ; 102 ;   6.336860
CGLM ;     WithSx ; 103 ;   5.297442
CGLM ;     WithSx ; 104 ;   4.395717
CGLM ;     WithSx ; 105 ;   3.617732
CGLM ;     WithSx ; 106 ;   2.950543
CGLM ;     WithSx ; 107 ;   2.382158
CGLM ;     WithSx ; 108 ;   1.901483
CGLM ;     WithSx ; 109 ;   1.498275
CGLM ;     WithSx ; 110 ;   1.163099
CGLM ;     WithSx ; 111 ;   0.617907
CGLM ;     WithSx ; 112 ;   0.000000
CGLM ;     WithSx ; 113 ;   0.000000
CGLM ;     WithSx ; 114 ;   0.000000
CGLM ;     WithSx ; 115 ;   0.000000
CGLM ;     WithSx ; 116 ;   0.000000
